name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
ayushicreationa Women's Ankle Length Cotton Socks,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41wu-MZj1LL._AC_UL320_.jpg,https://www.amazon.in/ayushicreationa-Womens-Cotton-Multicolor-Pattern/dp/B09LHD223C/ref=sr_1_145?qid=1679212152&s=apparel&sr=1-145,3.9,778,₹290,₹599
IFLASH Rectangle Sunglasses for Women Retro Fashion Sunglasses UV 400 Protection Square Frame Eyewear,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51dOu+j2-yL._AC_UL320_.jpg,https://www.amazon.in/IFLASH-Rectangle-Sunglasses-Fashion-Protection/dp/B0BGJK5Z5M/ref=sr_1_146?qid=1679212152&s=apparel&sr=1-146,3.8,33,₹249,"₹1,999"
Atasi International Gold Plated Crystal Necklace Jewellery Set with Earrings Suited for Party Wedding Festive for Women,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31YY+SAt4TL._AC_UL320_.jpg,https://www.amazon.in/Atasi-International-Necklace-Jewellery-Festivals/dp/B09YQCYQW6/ref=sr_1_147?qid=1679212152&s=apparel&sr=1-147,4.1,436,₹270,"₹1,999"
Fastrack Analog Dial Women's Watch,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61sPYHSiETS._AC_UL320_.jpg,https://www.amazon.in/Fastrack-Analog-Black-Womens-Watch/dp/B093CCYNJS/ref=sr_1_148?qid=1679212152&s=apparel&sr=1-148,4.2,587,"₹1,199","₹1,745"
"Great Habits, Great Readers: A Practical Guide for K - 4 Reading in the Light of Common Core",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41s+tG9O7RL._AC_UL320_.jpg,https://www.amazon.in/Great-Habits-Readers-Practical-Reading/dp/1118143957/ref=sr_1_149?qid=1679212152&s=apparel&sr=1-149,4.6,111,"₹2,221","₹2,555"
"WILD MODA Women's Shoulder Bag, Set of 1",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71WGJAqavPS._AC_UL320_.jpg,https://www.amazon.in/WILD-MODA-Womens-Shoulder-Turquoise/dp/B099PLT91X/ref=sr_1_150?qid=1679212152&s=apparel&sr=1-150,4.3,"3,488",₹849,"₹1,999"
"Boldfit Socks for Men & Women Unisex Stylish Design Sports Socks for Boys & Girls, Cotton Ankle Socks for Men Anti-Slip At...",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Z5T--en-L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Stylish-Anti-Slip-Athletic-Running/dp/B0BL72KTG9/ref=sr_1_151?qid=1679212152&s=apparel&sr=1-151,4.4,172,₹299,₹499
ELEGANTE Jewel-Detail Frames Square Oversized Sunglasses for Women,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61I6N9tMd2S._AC_UL320_.jpg,https://www.amazon.in/elegante-Jewel-Detail-Frames-Oversized-Sunglasses/dp/B089DLRLKR/ref=sr_1_152?qid=1679212152&s=apparel&sr=1-152,4.0,"1,042",₹431,"₹1,999"
Acnos Black Round Diamond Dial with Latest Generation Purple & Rosegold Magnet Belt Analogue Watch for Women Pack of - 2 (...,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/919YNrdn6dL._AC_UL320_.jpg,https://www.amazon.in/Acnos-Diamond-Generation-Rosegold-Analogue/dp/B0842WKQTC/ref=sr_1_153?qid=1679212152&s=apparel&sr=1-153,3.8,"2,955",₹345,"₹1,999"
Lino Perros Women Handbag,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6151MAuWlzL._AC_UL320_.jpg,https://www.amazon.in/Lino-Perros-Womens-Handbag-White/dp/B07L4QGTR4/ref=sr_1_154?qid=1679212152&s=apparel&sr=1-154,4.3,"2,496","₹1,494","₹4,495"
SIDEWOK Women's Vegan Leather Belt (Pack of 2),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51IbWwSp4eL._AC_UL320_.jpg,https://www.amazon.in/SIDEWOK-Combo-Plain-Casual-Combo-2/dp/B07YNS2CPC/ref=sr_1_155?qid=1679212152&s=apparel&sr=1-155,3.8,"1,884",₹269,₹999
Sukkhi Sparkling Gold Plated Wedding Jewellery Austrian Diamond Set of 4 Necklace Combo for Women (SKR48715),stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/711ZldF8GQL._AC_UL320_.jpg,https://www.amazon.in/Sukkhi-Sparkling-Jewellery-Austrian-SKR48715/dp/B083JG1NDY/ref=sr_1_156?qid=1679212152&s=apparel&sr=1-156,3.5,"2,825",₹360,"₹6,895"
Crestello Rose Gold Plated Mesh Chain Analog Wrist Watch for Women,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71mbHLw+5FL._AC_UL320_.jpg,https://www.amazon.in/Crestello-Plated-Chain-Watch-CR-RG103PNK-RGCH/dp/B09N1M5J8X/ref=sr_1_157?qid=1679212152&s=apparel&sr=1-157,3.9,413,₹339,"₹2,599"
"Storite Canvas Sling Cross Body Travel Office Business Messenger One Side Shoulder Bag for Men & Women (Grey, 33cm x 6.5cm...",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91BEcNhIXWL._AC_UL320_.jpg,https://www.amazon.in/Storite-Canvas-Business-Messenger-Bag/dp/B09DYTDSY6/ref=sr_1_158?qid=1679212152&s=apparel&sr=1-158,4.0,"2,150",₹899,"₹3,999"
"Skudgear Best Lightweight Headband Workout Sweatbands for Men & Women (Black, One Size, 1pc) | Gym Equipment | Running, Yo...",stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51EU2h563mL._AC_UL320_.jpg,https://www.amazon.in/SKUDGEAR-Advanced-Headband-Men-Women/dp/B07F1NVDZ2/ref=sr_1_159_mod_primary_new?qid=1679212152&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-159,4.2,"5,931",₹225,"₹1,999"
Fashnex Waist Belt Made of Neoprene for Women & Men for Tummy Exercise.,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61UkXKsUs8S._AC_UL320_.jpg,https://www.amazon.in/Fashnex-Sweat-Slim-Neoprene-Women/dp/B08C2CXML7/ref=sr_1_160?qid=1679212152&s=apparel&sr=1-160,4.5,710,₹959.04,"₹2,499"
