,SERIAL NO,NAME,CATEGORY,DESCRIPTION & COLOR,FABRIC,IMAGE,SIZE,PRICE,PRODUCT ID,WEBSITE,PRODUCT URL
0,594,Pacific Gold Men Black & Brown Reversible Leather Belt,accessories,"Pacific Gold Men Black & Brown Reversible Leather Belt,  Pacific Gold, Belts, Belts, Accessories, Accessories for Men, Buy Pacific Gold Men Black & Brown Reversible Leather Belt Online in India, Buy Belts at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/image/style/properties/869438/Pacific-Gold-Men-Black--Brown-Reversible-Leather-Belt_1_ddd640a20876542beee21a452be817f3.jpg",,499,869438,Myntra,https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black--brown-reversible-leather-belt/869438/buy
1,178,WROGN Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Jeans,"WROGN Men Blue Slim Fit Mid Rise Clean Look Stretchable Jeans,  WROGN, Jeans, Bottomwear, Apparel, Apparel for Men, Buy WROGN Men Blue Slim Fit Mid Rise Clean Look Stretchable Jeans Online in India, Buy Jeans at best price","98% cotton, 2% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7229731/2019/1/31/5d5d065e-bcb3-4095-b343-45c6090905cb1548939510262-WROGN-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jean-1.jpg",Slim fit,1399,7229731,Myntra,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/7229731/buy
2,1354,Louis Philippe Sport Men Navy Blue Slim Fit Solid Regular Trousers,Men-Casual-Trousers,"Louis Philippe Sport Men Navy Blue Slim Fit Solid Regular Trousers,  Louis Philippe Sport, Trousers, Bottomwear, Apparel, Apparel for Men, Buy Louis Philippe Sport Men Navy Blue Slim Fit Solid Regular Trousers Online in India, Buy Trousers at best price","97% cotton, 3% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8335829/2019/1/3/c7d9b30c-1a2b-4941-9978-e696792420a01546496383555-Louis-Philippe-Sport-Men-Navy-Blue-Slim-Fit-Solid-Regular-Tr-1.jpg",Slim fit,1149,8335829,Myntra,https://www.myntra.com/trousers/louis-philippe-sport/louis-philippe-sport-men-navy-blue-slim-fit-solid-regular-trousers/8335829/buy
3,6130,HERE&NOW Men Blue Slim Fit Mid-Rise Slash Knee Jeans,Jeans,"HERE&NOW Men Blue Slim Fit Mid Rise Slash Knee Jeans,  HERE&NOW, Jeans, Bottomwear, Apparel, Apparel for Men, Buy HERE&NOW Men Blue Slim Fit Mid Rise Slash Knee Jeans Online in India, Buy Jeans at best price",Cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7668930/2018/12/4/9f8aaad0-dc95-4000-9d5e-60e6d543e0d61543918984752-HERENOW-Men-Jeans-6171543918983505-1.jpg",", Ankle slim tapered",759,7668930,Myntra,https://www.myntra.com/jeans/herenow/herenow-men-blue-slim-fit-mid-rise-slash-knee-jeans/7668930/buy
4,1022,BASIICS by La Intimo Men Pack of 3 White Briefs,Innerwear & Sleapwear,"BASIICS By La Intimo Men Pack Of 3 White Briefs,  BASIICS By La Intimo, Briefs, Innerwear, Apparel, Apparel for Men, Buy BASIICS By La Intimo Men Pack Of 3 White Briefs Online in India, Buy Briefs at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/1692123/2016/12/19/11482124046477-BASIICS-by-La-Intimo-Men-Pack-of-3-White-Briefs-9721482124046213-1.jpg",,486,1692123,Myntra,https://www.myntra.com/briefs/basiics-by-la-intimo/basiics-by-la-intimo-men-pack-of-3-white-briefs/1692123/buy
5,8602,FIDO DIDO Men Taupe Colourblocked Polo Collar T-shirt,T-Shirts,"FIDO DIDO Men Taupe Colourblocked Polo Collar T Shirt,  FIDO DIDO, Tshirts, Topwear, Apparel, Apparel for Men, Buy FIDO DIDO Men Taupe Colourblocked Polo Collar T Shirt Online in India, Buy Tshirts at best price",100% cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7509380/2018/9/29/95138051-8683-485b-abe8-d2b1f18c81821538223312045-FIDO-DIDO-Mens-Cotton-Grey-Polo-T-shirt-5751538223311794-1.jpg",The model (height 6') is wearing a size M,479,7509380,Myntra,https://www.myntra.com/tshirts/fido-dido/fido-dido-men-taupe-colourblocked-polo-collar-t-shirt/7509380/buy
6,872,Roadster Men Brown Solid Two Fold Genuine Leather Wallet,accessories,"Roadster Men Brown Solid Two Fold Genuine Leather Wallet,  Roadster, Wallets, Wallets, Accessories, Accessories for Men, Buy Roadster Men Brown Solid Two Fold Genuine Leather Wallet Online in India, Buy Wallets at best price",Genuine Leather,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/4452099/2018/8/9/945e7d8f-dd3c-4047-8154-614fbfc245291533797321558-Roadster-Men-Wallets-3451533797320936-1.jpg",Height: 9 cm,389,4452099,Myntra,https://www.myntra.com/wallets/roadster/roadster-men-brown-solid-two-fold-genuine-leather-wallet/4452099/buy
7,3313,United Colors of Benetton Men Blue & White Slim Fit Ikat Print Casual Shirt,casual-shirts,"United Colors Of Benetton Men Blue & White Slim Fit Ikat Print Casual Shirt,  United Colors Of Benetton, Shirts, Topwear, Apparel, Apparel for Men, Buy United Colors Of Benetton Men Blue & White Slim Fit Ikat Print Casual Shirt Online in India, Buy Shirts at best price",Cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7255066/2018/9/19/bd8e74c7-1936-4488-8cce-e11aeadd7bfa1537349360072-United-Colors-of-Benetton-Men-Blue--White-Slim-Fit-Printed-Casual-Shirt-601537349359925-1.jpg",Slim fit,1499,7255066,Myntra,https://www.myntra.com/shirts/united-colors-of-benetton/united-colors-of-benetton-men-blue--white-slim-fit-ikat-print-casual-shirt/7255066/buy
8,4934,Van Heusen Men Blue Regular Fit Self Design Formal Shirt,formal-shirts,"Van Heusen Men Blue Regular Fit Self Design Formal Shirt,  Van Heusen, Shirts, Topwear, Apparel, Apparel for Men, Buy Van Heusen Men Blue Regular Fit Self Design Formal Shirt Online in India, Buy Shirts at best price",100% Cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/23/8c73ac40-6b95-4f56-a674-8a204cbeeb261542963910937-1.jpg",Regular Fit,1592,7853233,Myntra,https://www.myntra.com/shirts/van-heusen/van-heusen-men-blue-regular-fit-self-design-formal-shirt/7853233/buy
9,3296,Roadster Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Jeans,"Roadster Men Black Slim Fit Mid Rise Clean Look Stretchable Jeans,  Roadster, Jeans, Bottomwear, Apparel, Apparel for Men, Buy Roadster Men Black Slim Fit Mid Rise Clean Look Stretchable Jeans Online in India, Buy Jeans at best price","98% cotton, 2% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/7029114/2018/11/7/b8508284-e59e-4f86-92f5-3b2985e868c81541571144453-Roadster-Men-Black-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-6771541571144245-1.jpg",Slim fit,999,7029114,Myntra,https://www.myntra.com/jeans/roadster/roadster-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/7029114/buy
10,836,Quick Brown Fox Men Tan Brown Solid Two Fold Leather Wallet,accessories,"Quick Brown Fox Men Tan Brown Solid Two Fold Leather Wallet,  Quick Brown Fox, Wallets, Wallets, Accessories, Accessories for Men, Buy Quick Brown Fox Men Tan Brown Solid Two Fold Leather Wallet Online in India, Buy Wallets at best price",Leather,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/26/30080e9e-1d67-4f2e-b844-d9801bb1dd1c1543213124756-1.jpg",Length: 11.5 cm,1895,7990053,Myntra,https://www.myntra.com/wallets/quick-brown-fox/quick-brown-fox-men-tan-brown-solid-two-fold-leather-wallet/7990053/buy
11,4711,Moda Rapido Men Blue Slim Fit Solid Cropped Chinos,Men-Casual-Trousers,"Moda Rapido Men Blue Slim Fit Solid Cropped Chinos,  Moda Rapido, Trousers, Bottomwear, Apparel, Apparel for Men, Buy Moda Rapido Men Blue Slim Fit Solid Cropped Chinos Online in India, Buy Trousers at best price",Cotton ,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2326864/2018/2/10/11518251714021-Moda-Rapido-Men-Trousers-5031518251713858-1.jpg",Slim fit,679,2326864,Myntra,https://www.myntra.com/trousers/moda-rapido/moda-rapido-men-blue-slim-fit-solid-cropped-chinos/2326864/buy
12,15174,Indian Terrain Men Navy Blue Solid Polo Collar T-shirt,T-Shirts,"Indian Terrain Men Navy Blue Solid Polo Collar T Shirt,  Indian Terrain, Tshirts, Topwear, Apparel, Apparel for Men, Buy Indian Terrain Men Navy Blue Solid Polo Collar T Shirt Online in India, Buy Tshirts at best price",Cotton,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2516522/2018/2/23/11519374509826-Indian-Terrain-Men-Navy-Blue-Solid-Polo-Collar-T-shirt-6931519374509485-1.jpg",The model (height 6') is wearing a size M,899,2516522,Myntra,https://www.myntra.com/tshirts/indian-terrain/indian-terrain-men-navy-blue-solid-polo-collar-t-shirt/2516522/buy
13,1533,Blackberrys Men Brown Regular Fit Solid Smart Casual Trousers,Men-Casual-Trousers,"Blackberrys Men Brown Regular Fit Solid Smart Casual Trousers,  Blackberrys, Trousers, Bottomwear, Apparel, Apparel for Men, Buy Blackberrys Men Brown Regular Fit Solid Smart Casual Trousers Online in India, Buy Trousers at best price","97% cotton, 3% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/8031187/2018/12/13/bb2b9e8a-375a-452f-b350-c62e1a4a19201544695266176-Blackberrys-Men-Trousers-6541544695264867-1.jpg",Regular Fit,1197,8031187,Myntra,https://www.myntra.com/trousers/blackberrys/blackberrys-men-brown-regular-fit-solid-smart-casual-trousers/8031187/buy
