SERIAL NO,NAME,CATEGORY,DESCRIPTION & COLOR,FABRIC,IMAGE,SIZE,PRICE,PRODUCT ID,WEBSITE,PRODUCT URL
1,White Swimming Cap,men-swimwear,"White Swimming Cap,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy White Swimming Cap Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/24/353c74fb-2f52-449b-ab41-bbf73cb950ca1543036715352-1.jpg",, 699,7933899,Myntra,https://www.myntra.com/swimwear-accessories/speedo/white-swimming-cap/7933899/buy
2,White Swimming Goggles,men-swimwear,"White Swimming Goggles,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy White Swimming Goggles Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/24/feee140f-67f8-47ce-809c-46e8e7706c011543030678743-1.jpg",, 1999,7925135,Myntra,https://www.myntra.com/swimwear-accessories/speedo/white-swimming-goggles/7925135/buy
3,Blue Swimming Goggle,men-swimwear,"Blue Swimming Goggle,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Blue Swimming Goggle Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/24/004eb663-fd15-4b5f-b64e-6d28f96c632c1543034318325-1.jpg",, 1199,7930403,Myntra,https://www.myntra.com/swimwear-accessories/speedo/blue-swimming-goggle/7930403/buy
4,Grey Swimming Goggles,men-swimwear,"Grey Swimming Goggles,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Grey Swimming Goggles Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/24/3b412bd4-480c-4a31-ad2a-fb612ab209e01543043726217-1.jpg",, 2499,7939821,Myntra,https://www.myntra.com/swimwear-accessories/speedo/grey-swimming-goggles/7939821/buy
5,Futura Biofuse White Swimming Goggles,men-swimwear,"Futura Biofuse White Swimming Goggles,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Futura Biofuse White Swimming Goggles Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/24/bdb5352f-48b3-4c9a-9f54-003f820c12d41543036942141-1.jpg",, 1999,7934191,Myntra,https://www.myntra.com/swimwear-accessories/speedo/futura-biofuse-white-swimming-goggles/7934191/buy
6,Grey Swimming Goggles,men-swimwear,"Grey Swimming Goggles,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Grey Swimming Goggles Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/productimage/2018/11/24/f3cd630b-5c41-4032-8bbf-5f5bd37002231543030134719-1.jpg",, 1399,7924429,Myntra,https://www.myntra.com/swimwear-accessories/speedo/grey-swimming-goggles/7924429/buy
7,ADIDAS Originals Men Blue 3 Stripes Swim Shorts DN0159,men-swimwear,"ADIDAS Originals Men Blue 3 Stripes Swim Shorts DN0159,  ADIDAS Originals, Swim Bottoms, Bottomwear, Apparel, Apparel for Men, Buy ADIDAS Originals Men Blue 3 Stripes Swim Shorts DN0159 Online in India, Buy Swim Bottoms at best price",100% polyester ,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6824027/2018/7/9/eeba03bc-4021-4d96-a129-d743549023ae1531128507571-Adidas-Originals-Men-Blue-3-Stripes-Swim-Shorts-2851531128507490-1.jpg",Regular fit , 2099,6824027,Myntra,https://www.myntra.com/swim-bottoms/adidas-originals/adidas-originals-men-blue-3-stripes-swim-shorts-dn0159/6824027/buy
8,Speedo Kids Blue Silicone AM Swim Cap,men-swimwear,"Speedo Kids Blue Silicone AM Swim Cap,  Speedo, Swimwear Accessories, Accessories, Sporting Goods, Sporting Goods for Unisex, Buy Speedo Kids Blue Silicone AM Swim Cap Online in India, Buy Swimwear Accessories at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674318/2018/9/11/59969799-865b-488c-acbe-c20c5ae7411d1536646328013-Speedo-Kids-Blue-Silicone-AM-Swim-Cap-7441536646327404-1.jpg",, 799,6674318,Myntra,https://www.myntra.com/swimwear-accessories/speedo/speedo-kids-blue-silicone-am-swim-cap/6674318/buy
9,Speedo Men Navy SPEEDBOOST XDRY Printed Swim Shorts ,men-swimwear,"Speedo Men Navy SPEEDBOOST XDRY Printed Swim Shorts ,  Speedo, Swim Bottoms, Bottomwear, Apparel, Apparel for Men, Buy Speedo Men Navy SPEEDBOOST XDRY Printed Swim Shorts  Online in India, Buy Swim Bottoms at best price",,"https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/2501768/2018/4/26/11524722104575-Speedo-Men-Swim-Bottoms-9471524722104468-1.jpg",, 1499,2501768,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-navy-speedboost-xdry-printed-swim-shorts-/2501768/buy
10,Speedo Men Black Printed ENERGY BLAST JAMMER Swim Shorts 8MS4110001,men-swimwear,"Speedo Men Black Printed ENERGY BLAST JAMMER Swim Shorts 8MS4110001,  Speedo, Swim Bottoms, Apparel Set, Apparel, Apparel for Men, Buy Speedo Men Black Printed ENERGY BLAST JAMMER Swim Shorts 8MS4110001 Online in India, Buy Swim Bottoms at best price","80% nylon, 20% elastane","https://assets.myntassets.com/h_1440,q_100,w_1080/v1/assets/images/6674294/2018/7/20/b47a012e-3571-4e84-94af-5728346ce06a1532076173623-Speedo-Men-Black-Printed-ENERGY-BLAST-JAMMER-Swim-Shorts-8MS4110001-9101532076173538-1.jpg",The model (height 6') is wearing a size M, 2299,6674294,Myntra,https://www.myntra.com/swim-bottoms/speedo/speedo-men-black-printed-energy-blast-jammer-swim-shorts-8ms4110001/6674294/buy
